zip,county,state,lat,lng
01085,Hampden,MA,42.15375,-72.76961
01088,Hampshire,MA,42.38981,-72.6465
01089,Hampden,MA,42.12532,-72.65025
01092,Worcester,MA,42.20008,-72.23715
01093,Franklin,MA,42.44335,-72.65099
01094,Worcester,MA,42.36481,-72.13548
01095,Hampden,MA,42.12763,-72.42994
01096,Hampshire,MA,42.40968,-72.77213
01096,Franklin,MA,42.40968,-72.77213
01097,Hampden,MA,42.17722,-72.83175
01098,Hampshire,MA,42.39551,-72.94315
01103,Hampden,MA,42.10443,-72.58997
01104,Hampden,MA,42.13326,-72.56733
01105,Hampden,MA,42.09911,-72.57865
01106,Hampden,MA,42.04877,-72.57163
01107,Hampden,MA,42.12116,-72.60642
01108,Hampden,MA,42.0814,-72.55866
01109,Hampden,MA,42.11839,-72.54876
01118,Hampden,MA,42.09476,-72.5253
01119,Hampden,MA,42.12452,-72.51126
01128,Hampden,MA,42.09497,-72.48806
01129,Hampden,MA,42.1211,-72.4877
01144,Hampden,MA,42.10189,-72.59091
01151,Hampden,MA,42.15294,-72.50883
01201,Berkshire,MA,42.45614,-73.28114
01220,Berkshire,MA,42.62686,-73.11873
01222,Berkshire,MA,42.06242,-73.32146
01223,Berkshire,MA,42.31118,-73.09835
01224,Berkshire,MA,42.50622,-73.19841
01225,Berkshire,MA,42.56385,-73.1512
01226,Berkshire,MA,42.47954,-73.15329
01229,Berkshire,MA,42.29411,-73.35227
01230,Berkshire,MA,42.18197,-73.34244
01235,Berkshire,MA,42.43181,-73.07336
01236,Berkshire,MA,42.26923,-73.37999
01237,Berkshire,MA,42.5529,-73.25373
01238,Berkshire,MA,42.30072,-73.22553
01240,Berkshire,MA,42.37567,-73.26466
01242,Berkshire,MA,42.3334,-73.24967
01243,Hampshire,MA,42.34752,-73.03467
01244,Berkshire,MA,42.10924,-73.27475
01245,Berkshire,MA,42.19043,-73.21579
01247,Berkshire,MA,42.69813,-73.09264
01253,Berkshire,MA,42.20751,-73.1118
01254,Berkshire,MA,42.37972,-73.36608
01255,Berkshire,MA,42.1068,-73.12213
01256,Berkshire,MA,42.59627,-73.01958
01257,Berkshire,MA,42.0976,-73.37241
01258,Berkshire,MA,42.09396,-73.46616
01259,Berkshire,MA,42.07316,-73.23282
01260,Berkshire,MA,42.26663,-73.2712
01262,Berkshire,MA,42.30433,-73.32013
01264,Berkshire,MA,42.23997,-73.19686
01266,Berkshire,MA,42.30264,-73.39846
01267,Berkshire,MA,42.66593,-73.24209
01270,Berkshire,MA,42.51297,-73.04859
01301,Franklin,MA,42.62375,-72.60379
01330,Franklin,MA,42.51772,-72.81556
01331,Worcester,MA,42.56793,-72.18324
01331,Franklin,MA,42.56793,-72.18324
01337,Franklin,MA,42.69512,-72.57731
01338,Franklin,MA,42.5814,-72.80309
01339,Franklin,MA,42.61099,-72.88846
01340,Franklin,MA,42.68805,-72.73205
01341,Franklin,MA,42.50734,-72.70221
01342,Franklin,MA,42.54384,-72.6058
01343,Berkshire,MA,42.66766,-72.98822
01344,Franklin,MA,42.60756,-72.42916
01346,Franklin,MA,42.6706,-72.81323
01347,Franklin,MA,42.56027,-72.51321
01349,Franklin,MA,42.56656,-72.47045
01350,Franklin,MA,42.72259,-72.98291
01351,Franklin,MA,42.54162,-72.52069
01354,Franklin,MA,42.63282,-72.51136
01355,Franklin,MA,42.45101,-72.33141
01360,Franklin,MA,42.67575,-72.446
01364,Franklin,MA,42.60449,-72.29263
01366,Worcester,MA,42.48858,-72.18564
01367,Franklin,MA,42.69674,-72.91387
01368,Worcester,MA,42.67815,-72.18557
01370,Franklin,MA,42.59607,-72.72915
01373,Franklin,MA,42.47292,-72.61516
01375,Franklin,MA,42.46475,-72.55489
01376,Franklin,MA,42.59273,-72.54591
01378,Franklin,MA,42.67711,-72.34057
01379,Franklin,MA,42.54149,-72.3989
01380,Franklin,MA,42.58675,-72.40264
01420,Worcester,MA,42.58559,-71.81693
01430,Worcester,MA,42.66069,-71.9232
01431,Middlesex,MA,42.67652,-71.82322
01432,Middlesex,MA,42.56351,-71.57059
01434,Worcester,MA,42.53149,-71.61663
01434,Middlesex,MA,42.53149,-71.61663
01436,Worcester,MA,42.60579,-72.08958
01438,Worcester,MA,42.56028,-72.03583
01440,Worcester,MA,42.58797,-71.98649
01450,Middlesex,MA,42.61368,-71.56139
01451,Worcester,MA,42.50005,-71.57754
01452,Worcester,MA,42.48378,-72.00514
01453,Worcester,MA,42.51961,-71.76583
01460,Middlesex,MA,42.53503,-71.4891
01462,Worcester,MA,42.58994,-71.72036
01463,Middlesex,MA,42.67126,-71.60429
01464,Middlesex,MA,42.57411,-71.6475
01468,Worcester,MA,42.55324,-72.06879
01469,Middlesex,MA,42.66514,-71.69161
01473,Worcester,MA,42.55122,-71.90266
01474,Middlesex,MA,42.67088,-71.7508
01475,Worcester,MA,42.66675,-72.04902
01501,Worcester,MA,42.19689,-71.84549
01503,Worcester,MA,42.38378,-71.63552
01504,Worcester,MA,42.0399,-71.53125
01505,Worcester,MA,42.35633,-71.72123
01506,Worcester,MA,42.19364,-72.10441
01507,Worcester,MA,42.13509,-71.96803
01510,Worcester,MA,42.4119,-71.68883
01515,Worcester,MA,42.20328,-72.04669
01516,Worcester,MA,42.0528,-71.75106
01518,Worcester,MA,42.11342,-72.11632
01519,Worcester,MA,42.20077,-71.67892
01520,Worcester,MA,42.33685,-71.85181
01521,Hampden,MA,42.06012,-72.16592
01522,Worcester,MA,42.38142,-71.87111
01523,Worcester,MA,42.48176,-71.68079
01524,Worcester,MA,42.24919,-71.91989
01525,Worcester,MA,42.09899,-71.64296
01527,Worcester,MA,42.19228,-71.77397
